Country,Data source,Sector,Gas,Unit,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
World,CAIT,Total including LUCF,All GHG,MtCO₂e,48892.37,48257.3,47583.61,47025.97,45760.96,44091.45,44206.56,43822.88,42805.12,42504.58,41392.31,39805.41,38771.61,37585.68,36855.49,36212.69,36299.09,36626.68,35376.05,34922.08,34231.54,34051.21,33927.96,34008.49,33823.47
China,CAIT,Total including LUCF,All GHG,MtCO₂e,11600.63,11420.44,10938.67,10701.13,9712.78,8919.7,8359.26,8176.56,7537.67,6927.72,6183.03,5386.45,4711.7,4383.49,4159.8,3972.81,4038.55,3931.79,3900.32,3884.03,3498.95,3344.47,3117.42,2980.93,2833.49
United States,CAIT,Total including LUCF,All GHG,MtCO₂e,6319.02,6213.27,6132.14,6305.16,6115.68,5893.98,6253.79,6531.52,6330.06,6429.55,6448.38,6326.07,6236.44,6308.91,6394.64,6222.57,6178.27,6160.3,6013.18,5863.02,5805.98,5725.24,5598.11,5514.88,5550.04
India,CAIT,Total including LUCF,All GHG,MtCO₂e,3202.31,3031.34,2956.22,2821.64,2469.0,2363.59,2183.33,2083.95,1942.63,1805.11,1718.79,1621.51,1576.17,1545.64,1633.09,1594.49,1516.44,1485.84,1429.29,1375.25,1311.29,1263.72,1230.04,1197.94,1142.43
Indonesia,CAIT,Total including LUCF,All GHG,MtCO₂e,2471.64,2160.98,2156.54,2135.19,1994.78,2285.21,1968.89,1974.67,2399.72,1748.6,1875.85,1691.76,1935.23,1583.66,1315.44,1393.4,1498.99,2259.06,1308.49,1435.23,1401.19,1386.03,1371.11,1352.78,1336.74
Russia,CAIT,Total including LUCF,All GHG,MtCO₂e,2030.14,2076.02,2185.23,2143.4,2056.75,1990.67,2274.33,2035.24,2045.27,2146.98,2119.62,2284.3,2140.49,2106.08,2261.95,2217.35,2238.98,2182.39,2367.76,2388.86,2478.94,2732.52,2953.75,3167.24,3227.3
Brazil,CAIT,Total including LUCF,All GHG,MtCO₂e,1357.18,1317.22,1306.77,1252.95,1483.81,1377.6,1394.02,1404.58,1352.8,1939.66,1915.83,1876.7,1862.77,1837.95,1603.08,1601.85,1595.55,1564.61,1534.88,1527.67,1502.24,1485.83,1476.23,1465.84,1447.65
Japan,CAIT,Total including LUCF,All GHG,MtCO₂e,1322.05,1361.1,1335.73,1288.61,1083.31,1033.41,1098.66,1187.75,1145.18,1264.3,1259.63,1265.2,1261.27,1227.09,1206.58,1190.54,1150.51,1185.0,1192.25,1177.74,1164.6,1111.07,1116.89,1104.3,1096.72
Canada,CAIT,Total including LUCF,All GHG,MtCO₂e,867.0,889.9,808.67,781.29,906.01,812.84,893.26,898.24,880.0,975.74,960.21,998.75,984.07,896.77,720.32,730.85,788.96,682.23,684.06,688.04,672.3,652.4,651.82,637.04,641.34
Germany,CAIT,Total including LUCF,All GHG,MtCO₂e,816.64,856.69,838.71,826.89,878.3,840.93,898.55,892.0,924.49,909.69,930.32,949.62,948.97,966.05,918.52,930.52,967.71,983.07,1019.98,997.84,1003.92,1017.27,1027.29,1074.32,1103.55
Iran,CAIT,Total including LUCF,All GHG,MtCO₂e,800.68,782.25,761.45,751.64,670.47,670.61,650.93,641.92,608.8,565.91,531.91,497.73,472.74,452.31,442.57,425.73,390.09,384.25,368.98,356.94,343.1,310.5,310.65,291.19,250.42
Mexico,CAIT,Total including LUCF,All GHG,MtCO₂e,729.1,742.0,749.38,752.21,737.04,728.97,741.09,726.18,712.22,701.59,668.9,656.07,625.09,610.61,605.8,575.09,589.07,551.86,521.57,499.19,516.4,487.67,472.8,466.47,446.07
South Korea,CAIT,Total including LUCF,All GHG,MtCO₂e,631.6,633.94,635.14,630.92,596.94,547.98,534.23,521.98,508.41,504.45,506.76,483.79,477.31,483.46,476.01,419.0,381.87,446.14,422.06,393.51,361.21,334.84,306.09,280.94,256.27
Saudi Arabia,CAIT,Total including LUCF,All GHG,MtCO₂e,583.37,546.44,536.7,503.17,482.79,443.26,420.99,389.77,370.41,350.7,333.57,315.73,302.33,283.59,278.01,266.64,261.37,244.54,262.21,249.09,244.68,231.17,223.3,209.13,187.52
South Africa,CAIT,Total including LUCF,All GHG,MtCO₂e,527.22,512.23,494.85,480.49,492.05,483.41,507.34,474.59,454.16,453.34,452.39,424.14,403.52,390.85,354.16,348.31,367.03,356.83,340.94,329.01,316.11,310.25,301.87,305.03,309.29
Australia,CAIT,Total including LUCF,All GHG,MtCO₂e,523.21,514.8,581.2,579.12,561.95,590.57,573.95,597.56,603.84,603.39,628.82,593.96,642.79,643.41,588.3,571.4,533.53,507.13,498.24,494.44,486.79,479.7,478.39,478.4,479.52
United Kingdom,CAIT,Total including LUCF,All GHG,MtCO₂e,493.9,534.08,545.38,521.26,560.25,543.02,593.75,609.64,623.4,622.37,628.09,631.77,623.3,643.94,636.21,636.44,645.19,648.36,677.86,662.4,680.14,690.56,709.23,733.48,725.58
Nigeria,CAIT,Total including LUCF,All GHG,MtCO₂e,492.44,492.5,489.65,486.16,461.16,438.63,459.95,460.23,463.33,443.65,425.86,420.03,411.54,413.6,431.65,425.58,425.5,424.78,425.04,414.31,412.24,414.8,415.44,403.74,394.22
Argentina,CAIT,Total including LUCF,All GHG,MtCO₂e,443.26,431.64,434.7,424.83,418.67,427.23,446.69,428.83,427.8,394.32,397.46,374.04,354.18,357.18,346.26,347.3,340.17,336.96,333.17,324.18,322.54,312.42,312.25,307.9,303.46
Zambia,CAIT,Total including LUCF,All GHG,MtCO₂e,379.89,390.47,364.21,361.36,399.41,364.37,412.72,390.5,408.15,476.86,417.52,387.78,370.02,373.08,399.17,357.29,394.51,386.66,422.41,394.05,394.79,395.91,396.8,397.11,397.23
Thailand,CAIT,Total including LUCF,All GHG,MtCO₂e,374.38,381.31,371.61,350.42,339.99,321.1,324.47,321.52,308.53,311.04,303.14,282.24,269.68,257.72,254.55,254.07,245.02,265.01,259.16,238.51,220.74,205.62,188.86,176.62,164.77
Italy,CAIT,Total including LUCF,All GHG,MtCO₂e,368.82,387.09,417.12,436.3,444.82,439.46,491.21,508.61,518.25,523.18,525.68,514.74,496.83,487.0,491.38,486.78,478.58,465.95,461.98,463.43,440.55,445.36,452.7,454.95,456.76
Turkey,CAIT,Total including LUCF,All GHG,MtCO₂e,366.61,343.6,355.51,331.03,320.08,308.4,313.17,314.63,287.79,286.24,275.03,269.53,258.54,248.45,281.81,255.52,255.98,252.14,242.01,223.16,204.27,205.67,194.26,183.01,178.42
Pakistan,CAIT,Total including LUCF,All GHG,MtCO₂e,361.98,355.37,345.75,342.69,329.18,334.41,324.5,321.47,304.96,284.63,276.39,259.24,251.14,245.0,242.71,240.92,228.68,224.83,218.25,210.71,200.25,195.56,185.91,176.69,175.8
Ukraine,CAIT,Total including LUCF,All GHG,MtCO₂e,344.13,370.5,376.19,382.86,351.38,334.78,384.48,396.93,388.33,377.17,390.94,417.38,388.47,382.03,355.94,367.24,373.77,400.06,422.99,483.66,513.99,609.2,698.9,802.75,851.63
Venezuela,CAIT,Total including LUCF,All GHG,MtCO₂e,337.54,339.69,336.59,311.35,272.54,262.73,264.88,235.4,229.6,353.01,333.57,337.8,331.13,339.96,325.75,315.31,328.91,327.75,321.33,306.59,298.2,295.75,289.42,285.57,283.97
France,CAIT,Total including LUCF,All GHG,MtCO₂e,334.28,362.03,356.79,353.92,409.52,403.31,422.74,428.37,435.66,420.04,420.47,420.05,415.74,423.76,474.93,480.94,487.82,469.75,480.23,464.84,455.74,459.04,478.38,495.06,468.91
Poland,CAIT,Total including LUCF,All GHG,MtCO₂e,327.8,336.08,341.44,348.66,269.31,253.53,266.57,272.81,273.45,343.81,343.23,339.45,327.89,334.68,348.57,363.58,374.16,402.07,412.28,397.58,397.36,401.78,401.6,411.83,412.58
Iraq,CAIT,Total including LUCF,All GHG,MtCO₂e,292.86,282.53,268.14,244.55,229.62,211.78,184.27,170.46,172.19,172.41,163.53,164.48,178.24,190.94,184.56,159.36,160.9,179.75,146.53,129.97,145.08,145.2,133.36,123.07,154.8
Kazakhstan,CAIT,Total including LUCF,All GHG,MtCO₂e,291.85,313.8,300.33,300.74,283.68,260.43,287.73,241.58,234.13,213.25,199.66,182.18,171.81,154.86,156.53,161.44,176.06,177.12,204.36,231.78,264.07,292.09,334.18,337.31,333.33
Tanzania,CAIT,Total including LUCF,All GHG,MtCO₂e,286.49,286.99,290.96,288.51,299.83,295.79,302.69,301.59,286.01,317.43,301.01,303.32,276.66,296.79,267.76,292.03,296.75,279.65,293.82,282.43,278.54,278.38,277.89,277.76,277.47
Spain,CAIT,Total including LUCF,All GHG,MtCO₂e,272.67,273.59,298.73,306.76,306.96,321.71,361.11,398.74,384.72,377.2,363.17,347.28,340.2,322.59,321.22,303.51,279.83,267.77,246.68,253.95,241.18,229.88,243.01,232.17,225.08
Egypt,CAIT,Total including LUCF,All GHG,MtCO₂e,272.47,272.16,288.13,274.77,267.38,265.57,262.14,250.97,235.27,226.98,206.86,195.11,186.86,181.69,168.06,167.6,158.95,151.64,142.24,135.28,127.18,132.67,131.35,127.21,122.79
Angola,CAIT,Total including LUCF,All GHG,MtCO₂e,252.09,270.34,250.75,283.42,252.04,237.03,226.03,234.99,201.88,221.04,216.25,200.02,184.97,162.88,177.31,176.52,183.59,169.91,174.39,171.3,165.97,164.89,163.17,161.91,160.32
Vietnam,CAIT,Total including LUCF,All GHG,MtCO₂e,251.95,238.85,227.5,227.74,242.12,224.49,205.16,193.75,180.77,165.26,157.76,138.83,133.84,117.46,86.27,78.38,75.52,64.72,57.21,49.42,44.23,38.3,31.46,28.77,25.76
Sudan,CAIT,Total including LUCF,All GHG,MtCO₂e,234.55,279.71,360.41,400.33,344.83,430.99,345.4,310.41,324.37,412.79,429.43,383.75,464.36,395.97,333.46,327.65,330.01,308.24,293.13,291.54,290.29,284.55,281.31,275.96,274.59
United Arab Emirates,CAIT,Total including LUCF,All GHG,MtCO₂e,221.29,218.57,214.16,204.05,196.05,191.36,191.08,164.97,153.59,147.12,139.72,132.33,125.7,122.58,108.9,109.84,107.11,103.89,97.63,93.84,88.81,81.97,78.89,80.15,73.45
Uzbekistan,CAIT,Total including LUCF,All GHG,MtCO₂e,214.7,209.38,217.23,211.72,214.74,213.74,220.29,218.44,215.73,205.58,208.42,209.29,211.15,208.85,206.47,205.52,202.38,185.22,179.87,178.41,187.56,189.96,186.23,195.77,189.67
Myanmar,CAIT,Total including LUCF,All GHG,MtCO₂e,212.49,201.71,198.4,192.47,186.7,179.49,171.99,185.67,173.88,170.48,175.71,162.91,154.78,154.59,183.64,186.25,181.1,175.13,176.98,176.64,173.67,171.19,168.67,166.31,166.64
Democratic Republic of the Congo,CAIT,Total including LUCF,All GHG,MtCO₂e,206.75,208.32,201.96,208.98,208.45,205.01,203.98,199.43,209.94,203.27,204.36,199.31,195.18,194.91,198.31,202.28,209.09,207.06,201.76,201.28,201.28,201.29,201.26,201.22,202.68
Algeria,CAIT,Total including LUCF,All GHG,MtCO₂e,201.69,187.09,182.12,171.44,158.85,20.2,7.79,16.88,6.22,24.07,2.17,0.97,4.51,7.11,3.4,75.16,4.27,18.86,67.98,0.04,4.22,18.81,67.1,91.14,90.17
Kuwait,CAIT,Total including LUCF,All GHG,MtCO₂e,198.95,196.14,197.43,192.31,187.25,188.13,181.1,176.21,176.76,173.95,161.58,154.73,148.93,142.16,134.59,130.55,125.93,119.37,117.59,117.78,110.63,99.06,85.86,91.59,78.35
Bangladesh,CAIT,Total including LUCF,All GHG,MtCO₂e,196.93,193.6,190.97,187.21,173.47,165.13,160.94,150.75,147.86,152.96,148.88,147.06,145.75,142.61,138.33,135.68,131.46,131.2,128.86,128.06,122.97,120.6,119.35,117.52,117.3
Cameroon,CAIT,Total including LUCF,All GHG,MtCO₂e,196.56,199.25,192.56,192.89,193.76,195.61,194.12,195.55,194.55,196.41,193.2,194.96,192.99,193.16,196.37,194.94,195.8,192.49,191.83,192.74,192.91,192.23,188.07,188.13,188.45
Malaysia,CAIT,Total including LUCF,All GHG,MtCO₂e,187.89,163.24,144.64,140.13,263.37,250.18,259.08,245.98,226.29,392.85,379.48,359.64,353.6,335.97,307.36,296.45,317.59,288.13,277.55,266.07,257.85,250.74,246.96,239.27,230.06
Paraguay,CAIT,Total including LUCF,All GHG,MtCO₂e,183.23,181.67,180.32,178.69,163.57,160.62,159.71,162.25,158.4,102.75,101.63,103.37,101.25,100.96,98.33,103.11,100.31,100.16,99.13,99.46,97.68,96.15,94.3,93.35,94.38
Colombia,CAIT,Total including LUCF,All GHG,MtCO₂e,182.39,177.73,170.42,172.67,315.11,312.11,307.9,307.27,303.2,309.04,304.29,303.45,301.47,302.78,281.22,277.5,286.87,285.07,280.6,279.81,276.76,274.79,270.86,267.3,265.53
Netherlands,CAIT,Total including LUCF,All GHG,MtCO₂e,181.33,187.69,188.12,189.66,201.27,192.06,198.39,198.04,198.47,205.78,211.29,210.66,209.43,211.28,207.05,208.43,214.93,216.49,225.87,217.89,210.56,210.47,205.7,207.04,199.61
Peru,CAIT,Total including LUCF,All GHG,MtCO₂e,161.51,158.26,157.32,156.25,151.94,147.93,143.78,138.98,134.91,110.98,107.99,103.48,103.42,101.71,103.68,103.39,99.85,99.8,98.04,94.74,90.57,88.72,87.36,86.33,87.37
Ethiopia,CAIT,Total including LUCF,All GHG,MtCO₂e,147.73,143.01,138.41,129.67,146.06,143.18,140.04,133.98,128.07,123.49,125.3,122.44,119.12,108.09,105.41,112.21,111.94,102.91,101.19,98.09,97.39,96.11,101.41,100.64,100.19
Bolivia,CAIT,Total including LUCF,All GHG,MtCO₂e,134.18,132.99,133.5,135.12,153.17,126.92,128.18,131.17,126.45,120.22,126.22,109.76,107.97,104.36,108.21,116.37,111.52,110.38,109.52,109.79,109.85,108.01,106.48,104.83,104.26
Libya,CAIT,Total including LUCF,All GHG,MtCO₂e,133.67,133.01,131.88,119.12,139.58,134.23,129.75,122.68,123.41,121.14,115.08,111.37,108.57,103.77,99.96,98.09,99.6,98.11,98.42,96.14,94.34,89.01,88.31,91.26,93.9
Philippines,CAIT,Total including LUCF,All GHG,MtCO₂e,121.34,111.29,101.27,96.47,184.56,178.23,175.86,172.49,166.67,155.7,154.13,150.51,147.41,145.36,132.28,130.67,126.38,132.02,123.36,114.73,102.71,95.35,90.21,87.46,87.51
Turkmenistan,CAIT,Total including LUCF,All GHG,MtCO₂e,114.99,112.29,109.73,105.63,98.91,91.09,97.32,95.45,88.58,85.93,82.81,78.69,71.66,68.24,65.54,62.78,55.99,54.65,53.69,56.36,56.25,50.58,51.94,64.76,72.49
Oman,CAIT,Total including LUCF,All GHG,MtCO₂e,106.3,101.78,98.58,91.46,84.6,80.69,77.5,78.02,73.92,64.88,65.68,66.63,66.37,65.45,63.42,60.15,55.79,54.53,51.92,50.5,47.34,46.2,45.64,45.45,39.86
Belgium,CAIT,Total including LUCF,All GHG,MtCO₂e,104.87,110.78,109.4,111.36,122.57,113.73,121.53,118.78,122.62,125.05,128.88,130.47,126.59,133.36,133.16,132.71,135.92,134.02,137.31,132.33,132.46,127.14,129.3,130.69,125.7
Czech Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,104.27,108.49,112.99,117.47,123.74,121.62,129.14,134.73,131.97,125.93,129.36,128.62,124.3,129.33,129.11,118.03,125.35,131.87,134.51,132.96,133.42,140.94,145.8,152.27,168.49
Ecuador,CAIT,Total including LUCF,All GHG,MtCO₂e,94.53,92.18,90.22,88.94,87.66,83.94,81.19,80.28,79.94,77.95,76.68,73.17,73.37,73.22,78.99,78.06,82.21,82.4,81.26,78.12,75.05,73.7,74.2,72.64,71.57
Belarus,CAIT,Total including LUCF,All GHG,MtCO₂e,89.25,89.8,89.79,88.6,65.03,60.66,62.3,58.46,59.91,64.83,63.26,59.74,63.06,58.53,67.94,70.65,72.76,74.57,74.12,73.55,81.62,94.41,107.15,121.79,126.8
Qatar,CAIT,Total including LUCF,All GHG,MtCO₂e,88.11,82.85,81.07,72.08,69.54,64.67,59.58,55.0,48.93,45.07,35.82,32.31,30.81,26.52,24.61,25.67,23.38,21.84,20.16,19.13,18.27,17.41,16.5,16.33,14.16
Israel,CAIT,Total including LUCF,All GHG,MtCO₂e,87.41,89.52,94.51,87.25,87.19,81.87,82.09,81.52,78.71,74.83,76.88,76.71,74.87,71.83,71.21,66.72,64.85,63.58,60.88,58.27,54.13,50.71,46.51,43.62,42.4
Greece,CAIT,Total including LUCF,All GHG,MtCO₂e,83.44,86.79,93.95,100.27,102.65,110.04,116.67,122.76,118.93,120.62,119.6,120.4,117.01,117.69,116.67,108.76,109.19,105.58,104.5,104.15,100.28,98.04,97.13,95.26,95.56
North Korea,CAIT,Total including LUCF,All GHG,MtCO₂e,83.02,77.96,91.05,89.64,108.22,112.43,112.65,105.01,118.07,114.18,110.54,108.28,106.11,109.95,106.81,101.63,95.79,103.02,109.83,119.92,127.85,138.88,147.87,161.38,168.26
Morocco,CAIT,Total including LUCF,All GHG,MtCO₂e,80.22,78.4,78.12,75.87,73.02,69.66,69.51,66.87,65.96,53.65,50.58,46.56,46.53,44.93,41.91,40.9,38.82,37.94,36.25,35.53,34.79,31.92,32.16,30.83,29.31
Papua New Guinea,CAIT,Total including LUCF,All GHG,MtCO₂e,76.03,70.96,65.27,66.09,74.24,68.15,73.46,67.7,75.89,65.66,100.81,71.46,82.31,64.71,66.48,66.59,67.18,176.29,64.61,75.41,74.7,73.67,72.89,72.05,71.31
Austria,CAIT,Total including LUCF,All GHG,MtCO₂e,70.26,73.58,73.27,76.22,78.66,73.75,80.17,79.89,82.26,81.97,81.49,81.67,75.84,74.41,65.54,65.51,67.37,66.93,68.02,64.45,61.84,61.91,61.93,67.08,63.13
Mozambique,CAIT,Total including LUCF,All GHG,MtCO₂e,68.1,66.72,65.48,63.41,59.19,54.54,57.61,55.48,53.03,60.71,58.38,60.14,55.7,56.82,54.15,56.3,57.4,54.87,56.95,56.11,55.54,55.62,55.25,54.96,55.02
Mongolia,CAIT,Total including LUCF,All GHG,MtCO₂e,65.47,63.46,63.22,58.33,53.87,56.98,60.88,61.16,59.71,49.46,47.54,46.95,50.8,50.25,57.08,53.24,53.34,58.86,52.14,53.25,52.43,54.19,55.36,57.48,55.32
Finland,CAIT,Total including LUCF,All GHG,MtCO₂e,65.24,69.26,68.49,74.26,56.08,47.57,50.7,59.01,61.02,53.9,66.48,71.25,63.46,61.58,47.58,49.34,50.41,54.12,56.48,50.27,54.18,47.54,46.37,49.25,49.13
Azerbaijan,CAIT,Total including LUCF,All GHG,MtCO₂e,64.13,61.25,58.98,55.09,49.95,48.32,50.12,45.27,49.32,55.51,52.09,51.38,54.26,53.95,54.03,52.29,52.33,51.85,52.13,57.13,59.51,66.3,58.33,82.43,73.73
Zimbabwe,CAIT,Total including LUCF,All GHG,MtCO₂e,63.79,63.49,63.52,63.71,63.14,60.88,61.06,62.47,62.22,62.88,62.74,62.56,65.01,68.46,67.91,70.86,68.85,67.85,68.84,67.47,67.9,68.7,72.02,71.32,70.91
Portugal,CAIT,Total including LUCF,All GHG,MtCO₂e,63.35,63.91,65.22,67.07,65.54,71.51,72.1,77.01,76.79,88.42,84.74,83.56,88.63,84.29,80.31,80.86,74.33,69.5,67.18,68.69,65.2,63.21,64.2,59.94,58.05
Syria,CAIT,Total including LUCF,All GHG,MtCO₂e,62.2,64.61,73.47,86.39,88.24,89.65,94.83,93.84,90.7,87.58,76.28,73.82,73.28,72.62,71.71,71.59,72.36,68.99,68.36,64.98,61.11,57.98,57.59,56.67,52.58
Central African Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,61.89,62.66,59.69,63.1,61.39,58.57,63.16,61.4,60.2,61.13,58.18,62.14,55.54,57.2,63.18,61.67,64.87,59.93,56.73,55.65,54.8,53.96,53.19,52.42,51.39
Hungary,CAIT,Total including LUCF,All GHG,MtCO₂e,61.0,61.16,62.11,65.59,66.18,66.39,72.64,73.51,75.73,78.73,79.52,80.67,78.1,79.16,75.34,78.45,77.45,77.04,78.41,76.57,77.68,78.92,79.2,87.91,91.81
New Zealand,CAIT,Total including LUCF,All GHG,MtCO₂e,60.34,59.67,59.84,57.71,57.54,57.7,60.43,60.41,61.66,62.93,61.58,62.53,59.9,58.99,49.39,48.71,46.95,48.2,45.75,45.52,44.41,42.83,43.51,42.36,42.95
Uganda,CAIT,Total including LUCF,All GHG,MtCO₂e,59.92,60.64,58.29,56.77,56.42,56.73,54.87,48.17,46.16,43.7,43.7,42.27,39.71,36.95,38.81,38.89,39.77,37.69,37.05,36.63,36.03,36.22,35.78,35.45,34.91
Ireland,CAIT,Total including LUCF,All GHG,MtCO₂e,58.27,58.79,59.33,58.43,55.66,56.78,61.96,62.38,63.85,68.84,67.41,66.24,66.76,67.42,64.61,63.12,61.3,57.96,56.48,55.24,54.48,53.02,52.42,52.13,51.36
Chad,CAIT,Total including LUCF,All GHG,MtCO₂e,52.67,53.8,53.92,53.94,53.19,52.65,54.56,54.94,54.45,36.74,34.4,33.51,31.41,28.4,32.05,32.58,31.74,28.39,26.95,26.09,25.74,25.55,25.38,25.16,25.0
Cambodia,CAIT,Total including LUCF,All GHG,MtCO₂e,52.62,51.69,50.7,51.26,49.66,48.51,47.79,48.12,46.0,53.11,52.8,51.42,50.2,49.5,47.08,48.56,48.97,45.83,44.67,45.27,43.36,44.21,43.36,42.73,42.82
Singapore,CAIT,Total including LUCF,All GHG,MtCO₂e,52.42,52.99,52.37,52.81,50.01,45.88,44.73,44.62,43.29,42.64,44.23,42.68,45.63,46.37,46.49,42.09,41.28,42.5,42.48,41.11,41.27,39.21,33.76,32.71,30.97
Serbia,CAIT,Total including LUCF,All GHG,MtCO₂e,50.1,57.72,57.15,61.97,-5.78,-4.79,-2.03,0.67,1.87,59.9,67.41,61.83,58.74,55.32,53.12,50.87,68.01,68.34,63.53,56.11,49.62,53.32,59.2,65.53,75.97
Honduras,CAIT,Total including LUCF,All GHG,MtCO₂e,49.6,49.16,48.71,48.95,47.3,47.43,47.45,47.72,45.93,47.76,46.5,46.46,43.81,43.44,54.88,54.05,54.57,53.68,52.99,52.97,52.14,51.5,51.62,51.29,51.16
Madagascar,CAIT,Total including LUCF,All GHG,MtCO₂e,48.5,50.72,47.19,48.23,60.06,60.71,56.43,59.17,57.91,51.71,46.83,47.28,44.07,49.59,61.98,64.52,65.36,63.4,64.56,63.69,63.53,63.54,63.19,62.98,62.9
Denmark,CAIT,Total including LUCF,All GHG,MtCO₂e,48.28,52.39,50.54,55.7,62.26,61.71,64.22,67.41,72.1,64.56,68.34,74.37,68.81,69.43,67.24,71.45,74.86,78.93,88.49,75.1,78.27,74.44,71.81,77.87,67.28
Bulgaria,CAIT,Total including LUCF,All GHG,MtCO₂e,47.89,44.97,49.55,54.73,49.33,47.69,54.55,56.74,52.85,47.97,47.61,48.39,44.01,46.42,46.1,47.02,53.15,55.87,58.42,58.17,58.46,61.66,63.0,68.07,88.15
Sweden,CAIT,Total including LUCF,All GHG,MtCO₂e,46.91,46.62,47.95,51.09,54.54,49.17,52.61,54.65,56.52,12.16,15.54,17.19,16.18,14.7,46.93,51.05,52.35,51.64,57.96,52.43,52.95,51.06,51.08,48.35,47.75
Switzerland,CAIT,Total including LUCF,All GHG,MtCO₂e,46.15,49.94,48.9,47.47,49.61,47.99,49.27,47.77,49.71,51.88,51.35,50.86,49.68,51.42,49.42,50.35,50.18,48.72,50.1,49.52,48.79,49.7,52.03,52.23,49.94
