Country,Data source,Sector,Gas,Unit,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Sri Lanka,CAIT,Total including LUCF,All GHG,MtCO₂e,45.25,42.29,44.42,43.07,39.51,38.28,39.04,38.7,37.62,41.6,39.63,39.32,38.05,37.06,35.91,34.41,32.79,32.91,32.66,30.45,30.38,29.3,29.14,27.54,27.77
Nepal,CAIT,Total including LUCF,All GHG,MtCO₂e,44.06,42.29,42.3,40.35,39.14,38.01,36.08,34.65,34.43,60.63,60.01,59.95,58.6,59.32,63.95,63.83,62.09,61.1,60.47,59.88,58.68,57.77,56.84,56.85,56.37
Côte d'Ivoire,CAIT,Total including LUCF,All GHG,MtCO₂e,39.21,38.83,36.83,34.37,34.34,33.05,33.41,32.2,31.88,17.36,15.19,15.48,16.48,15.27,18.55,20.08,19.53,20.45,20.29,21.02,20.41,19.4,18.79,18.3,17.68
Mali,CAIT,Total including LUCF,All GHG,MtCO₂e,38.7,36.32,35.69,35.87,34.65,33.13,34.28,32.05,31.48,31.12,31.63,27.7,28.05,28.85,27.66,29.1,28.13,24.33,23.65,24.04,23.74,23.52,23.33,23.29,23.34
Ghana,CAIT,Total including LUCF,All GHG,MtCO₂e,38.57,39.36,37.49,35.82,18.32,16.77,15.66,16.02,16.11,59.85,56.54,58.39,57.59,56.87,39.39,38.86,39.86,36.07,35.27,34.89,34.49,34.06,33.78,33.22,33.12
Guatemala,CAIT,Total including LUCF,All GHG,MtCO₂e,38.4,34.66,32.5,32.19,40.1,40.87,39.04,40.74,38.63,40.6,36.86,38.58,35.66,34.84,35.72,33.42,34.67,31.11,30.73,30.76,29.78,29.55,28.94,27.82,27.49
Tunisia,CAIT,Total including LUCF,All GHG,MtCO₂e,37.88,35.36,35.19,33.81,35.27,32.89,32.27,31.84,31.27,30.26,29.69,28.6,28.29,28.33,27.34,26.05,24.9,23.83,23.44,22.27,21.92,22.08,20.53,19.7,18.74
Botswana,CAIT,Total including LUCF,All GHG,MtCO₂e,36.56,69.03,41.94,55.82,36.66,30.36,48.79,63.91,45.58,58.92,35.57,55.99,122.22,47.92,65.33,77.06,92.03,82.98,72.46,59.06,58.15,57.91,58.18,57.86,58.37
Somalia,CAIT,Total including LUCF,All GHG,MtCO₂e,36.46,36.33,36.19,35.91,37.98,37.78,37.77,37.71,38.76,42.12,41.7,41.41,41.01,40.66,38.49,38.28,38.25,38.3,37.89,37.43,36.92,35.21,33.48,35.33,38.03
Bahrain,CAIT,Total including LUCF,All GHG,MtCO₂e,35.04,33.48,31.2,30.58,30.43,29.02,28.97,27.12,26.61,24.69,21.81,21.72,21.02,19.99,19.41,18.92,18.92,17.73,17.42,16.71,16.48,16.09,15.22,13.2,13.52
Yemen,CAIT,Total including LUCF,All GHG,MtCO₂e,34.01,35.65,28.7,29.4,33.26,34.73,30.91,29.3,27.62,27.37,26.33,25.11,22.26,22.1,20.56,19.65,18.05,16.9,15.8,15.4,13.87,13.5,14.4,13.63,11.99
Afghanistan,CAIT,Total including LUCF,All GHG,MtCO₂e,33.37,33.17,34.5,34.71,30.63,26.94,23.63,20.4,19.62,18.98,18.15,18.43,17.7,15.21,16.5,18.0,17.12,16.28,15.32,14.33,13.99,14.03,14.01,15.29,15.21
Slovakia,CAIT,Total including LUCF,All GHG,MtCO₂e,33.02,35.23,34.48,36.19,36.28,34.62,38.28,38.58,39.54,37.69,36.53,37.53,36.96,37.31,35.9,38.58,39.69,40.46,40.36,40.41,39.88,42.99,54.79,48.74,56.79
Cuba,CAIT,Total including LUCF,All GHG,MtCO₂e,32.87,32.55,33.61,32.83,86.81,83.56,79.2,79.76,78.67,7.38,7.03,7.52,8.29,9.7,8.73,8.2,7.62,7.94,5.28,2.67,1.83,0.38,3.92,9.64,18.33
Burkina Faso,CAIT,Total including LUCF,All GHG,MtCO₂e,32.6,32.61,31.26,31.24,33.06,32.05,31.75,31.17,30.56,28.96,27.96,28.0,25.46,24.33,26.7,27.0,26.81,25.88,25.17,24.49,24.04,23.61,23.26,22.88,22.47
Jordan,CAIT,Total including LUCF,All GHG,MtCO₂e,32.4,30.42,30.52,26.98,26.25,26.5,26.02,26.38,24.95,24.48,22.96,21.02,21.35,19.63,19.48,19.68,20.59,21.31,21.72,22.17,21.52,20.61,20.12,17.49,17.36
Senegal,CAIT,Total including LUCF,All GHG,MtCO₂e,30.45,30.78,29.02,30.6,31.02,28.66,29.19,28.13,28.54,28.32,27.41,24.91,25.95,27.41,27.09,26.87,24.83,23.64,23.1,22.82,22.56,22.22,21.99,21.54,21.25
Guinea,CAIT,Total including LUCF,All GHG,MtCO₂e,30.18,30.59,30.87,29.51,28.64,28.65,28.93,27.7,27.75,26.86,26.51,26.16,26.31,24.9,25.16,24.91,25.15,23.77,23.63,23.48,23.08,22.56,22.21,21.89,21.58
Laos,CAIT,Total including LUCF,All GHG,MtCO₂e,29.62,29.36,29.28,26.79,32.91,26.73,25.54,29.66,26.19,27.63,29.42,25.2,25.76,24.24,17.78,18.23,19.15,17.53,17.68,17.41,17.29,16.95,16.93,16.64,16.69
Niger,CAIT,Total including LUCF,All GHG,MtCO₂e,29.52,28.22,27.26,25.66,26.0,24.83,23.81,22.91,21.89,21.26,20.47,19.84,19.14,18.48,23.28,22.84,22.33,21.45,21.04,20.37,19.82,19.32,18.77,18.3,17.87
Kenya,CAIT,Total including LUCF,All GHG,MtCO₂e,29.29,28.96,29.44,30.06,27.85,27.08,27.15,25.3,10.86,-6.3,-6.78,-9.59,-10.87,-11.64,94.72,96.2,94.22,93.2,93.24,93.93,93.61,93.39,93.63,93.66,94.84
Bosnia and Herzegovina,CAIT,Total including LUCF,All GHG,MtCO₂e,28.8,28.59,28.79,30.59,27.54,27.38,27.27,25.68,24.65,22.84,22.17,21.52,20.76,20.01,12.42,8.41,8.05,5.06,0.08,-0.91,-0.8,9.64,12.29,17.96,20.66
Lebanon,CAIT,Total including LUCF,All GHG,MtCO₂e,28.59,26.94,26.98,24.48,23.82,24.65,20.73,16.72,17.97,19.33,19.97,19.53,19.04,19.12,17.9,19.37,18.76,18.67,17.0,16.36,14.49,13.28,9.26,8.95,7.44
Estonia,CAIT,Total including LUCF,All GHG,MtCO₂e,26.43,27.71,25.3,26.53,24.23,20.33,23.7,25.23,21.43,28.2,27.98,27.83,25.89,26.19,18.43,18.86,19.92,20.52,20.95,20.13,22.08,23.21,29.24,38.46,42.42
Panama,CAIT,Total including LUCF,All GHG,MtCO₂e,26.31,25.87,25.54,24.95,24.0,23.25,21.69,21.46,21.75,22.03,20.39,20.23,20.06,20.83,19.14,18.84,19.56,18.37,18.28,18.15,17.8,17.54,17.29,16.64,16.18
Equatorial Guinea,CAIT,Total including LUCF,All GHG,MtCO₂e,25.94,25.87,26.09,25.71,25.72,25.86,25.24,25.5,25.6,24.92,24.05,21.64,18.01,15.85,13.85,12.54,10.93,9.84,8.38,6.68,6.55,6.57,5.66,5.61,5.49
Guyana,CAIT,Total including LUCF,All GHG,MtCO₂e,24.97,20.25,22.58,18.48,12.22,16.67,14.76,14.59,14.21,16.74,12.49,19.26,11.25,11.24,11.56,12.08,16.67,13.15,13.21,13.58,13.3,12.98,12.88,12.9,12.7
Norway,CAIT,Total including LUCF,All GHG,MtCO₂e,24.94,24.64,25.62,26.19,26.62,24.82,25.28,26.41,26.22,27.03,28.33,28.16,25.71,26.32,32.9,38.3,36.41,34.71,33.02,32.0,33.08,31.96,31.2,28.61,31.15
Trinidad and Tobago,CAIT,Total including LUCF,All GHG,MtCO₂e,24.92,25.31,24.47,24.74,25.73,23.52,25.08,25.45,23.74,21.37,17.25,16.81,18.12,17.16,16.05,15.48,15.36,15.03,14.56,14.38,14.23,13.69,13.17,14.23,15.34
Dominican Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,24.41,24.42,24.49,23.93,23.73,22.47,22.64,22.24,21.23,19.51,17.64,18.39,20.96,18.96,17.47,16.11,15.63,13.61,11.81,10.75,9.77,7.88,7.84,6.15,5.23
Benin,CAIT,Total including LUCF,All GHG,MtCO₂e,23.54,22.95,22.28,22.23,21.94,21.55,21.27,21.45,20.74,20.27,18.9,18.88,19.17,17.85,22.43,22.25,22.47,21.51,21.29,20.44,20.58,20.37,20.28,20.21,20.23
Uruguay,CAIT,Total including LUCF,All GHG,MtCO₂e,22.7,23.49,24.18,23.87,13.45,16.04,16.15,13.64,14.68,18.15,17.95,16.24,15.43,15.21,3.81,5.67,4.7,5.03,5.28,3.97,3.75,3.89,3.46,2.02,0.53
Brunei,CAIT,Total including LUCF,All GHG,MtCO₂e,19.76,19.41,19.33,18.97,20.24,20.98,20.5,20.13,20.56,18.45,18.3,18.57,17.57,17.31,17.4,16.8,20.9,17.32,16.42,15.95,15.45,15.04,14.63,14.29,14.69
Namibia,CAIT,Total including LUCF,All GHG,MtCO₂e,19.66,20.83,24.51,23.97,20.42,20.72,19.45,19.42,19.57,19.47,18.2,17.87,18.41,19.2,19.61,18.36,18.48,17.49,17.7,17.96,17.84,17.62,17.61,17.65,16.33
Lithuania,CAIT,Total including LUCF,All GHG,MtCO₂e,19.47,19.79,20.31,20.14,21.34,20.32,21.95,22.23,22.46,24.33,23.74,22.66,22.24,22.44,21.61,23.28,25.75,24.84,25.0,24.18,25.9,27.91,33.8,48.96,47.44
Republic of Congo,CAIT,Total including LUCF,All GHG,MtCO₂e,19.29,27.25,25.22,20.33,17.78,17.38,18.74,17.54,19.04,21.3,18.83,17.34,15.62,16.89,17.07,17.86,18.0,18.28,17.49,18.54,18.38,18.59,18.6,18.66,16.42
Croatia,CAIT,Total including LUCF,All GHG,MtCO₂e,18.84,19.58,20.12,21.88,16.22,17.16,19.57,20.44,19.08,16.4,16.37,16.49,15.01,13.56,12.38,12.83,12.88,11.78,9.7,9.83,9.56,10.51,10.44,11.8,18.03
Georgia,CAIT,Total including LUCF,All GHG,MtCO₂e,16.39,15.13,14.73,13.89,8.79,9.15,8.34,9.25,8.58,8.18,7.54,7.44,7.41,8.16,9.08,8.38,8.4,8.57,9.01,10.41,14.11,21.51,27.4,34.55,44.08
Nicaragua,CAIT,Total including LUCF,All GHG,MtCO₂e,14.74,14.23,14.47,14.44,42.74,42.54,42.37,42.53,42.36,42.21,41.71,42.41,41.24,40.79,40.74,40.2,39.71,38.77,38.01,37.96,38.5,38.17,37.56,36.69,38.36
Malawi,CAIT,Total including LUCF,All GHG,MtCO₂e,14.54,14.4,14.15,13.71,15.71,14.34,14.77,13.84,13.5,14.54,14.34,15.02,13.82,13.42,13.55,13.09,13.45,13.33,13.44,13.21,13.55,14.49,14.89,15.44,15.82
Kyrgyzstan,CAIT,Total including LUCF,All GHG,MtCO₂e,14.35,14.7,14.99,12.41,26.18,26.5,26.96,25.79,24.53,7.55,7.71,7.76,6.95,6.02,6.7,6.81,8.08,7.7,7.93,6.99,10.07,14.48,18.9,26.76,29.75
Togo,CAIT,Total including LUCF,All GHG,MtCO₂e,13.57,13.44,13.09,13.2,13.06,13.21,12.09,11.44,11.4,12.15,11.32,11.67,11.31,11.21,11.38,11.5,11.31,10.59,10.52,9.93,10.0,9.7,9.82,10.1,10.26
Sierra Leone,CAIT,Total including LUCF,All GHG,MtCO₂e,12.85,12.73,12.95,11.59,11.11,10.96,10.85,10.48,11.06,10.27,10.17,9.92,9.7,9.38,9.18,9.22,9.49,9.48,9.51,9.6,9.8,9.75,9.67,9.75,9.71
El Salvador,CAIT,Total including LUCF,All GHG,MtCO₂e,12.55,12.24,12.98,12.76,12.91,13.21,13.44,14.05,13.43,13.04,12.6,12.5,12.13,11.92,11.2,11.31,11.16,11.05,10.19,10.29,9.99,9.34,8.77,8.39,7.57
Belize,CAIT,Total including LUCF,All GHG,MtCO₂e,12.08,13.43,11.57,11.89,14.23,14.35,14.69,14.82,13.6,15.01,13.6,14.89,13.25,13.2,12.24,12.05,12.01,11.55,11.53,11.43,11.32,11.19,11.05,10.89,10.72
Tajikistan,CAIT,Total including LUCF,All GHG,MtCO₂e,11.96,10.24,9.39,8.69,8.38,8.32,8.69,8.39,7.68,7.13,7.01,6.26,6.07,6.08,6.18,6.63,7.04,7.08,6.9,7.45,8.11,10.31,13.22,16.38,17.41
Macedonia,CAIT,Total including LUCF,All GHG,MtCO₂e,11.72,12.07,12.86,13.32,12.29,12.37,12.94,13.15,12.56,13.67,13.24,13.4,12.55,13.09,11.0,11.27,12.09,11.3,12.44,10.85,10.94,11.0,10.7,11.32,11.68
Moldova,CAIT,Total including LUCF,All GHG,MtCO₂e,11.2,10.4,11.21,11.36,11.48,10.66,10.82,10.96,11.13,11.24,11.05,11.01,10.53,10.4,9.69,10.37,11.96,13.29,14.62,16.63,18.72,22.25,25.51,30.88,37.07
Luxembourg,CAIT,Total including LUCF,All GHG,MtCO₂e,10.81,11.19,11.81,12.08,12.1,11.48,12.07,12.13,12.63,12.76,12.53,11.07,10.69,9.85,8.48,8.55,8.16,8.83,9.33,9.26,11.34,12.23,11.86,12.23,11.7
Slovenia,CAIT,Total including LUCF,All GHG,MtCO₂e,10.46,11.78,12.31,12.69,11.17,10.99,12.94,11.78,11.84,8.94,8.75,8.64,8.61,8.44,11.09,11.37,12.01,12.24,11.73,10.93,10.14,10.15,9.42,10.31,11.31
Jamaica,CAIT,Total including LUCF,All GHG,MtCO₂e,10.17,10.3,9.77,10.21,9.76,10.31,12.39,14.32,14.4,13.26,13.2,13.19,12.77,12.57,12.48,12.38,12.09,11.58,11.38,11.02,10.7,10.66,10.47,9.68,9.67
Mauritania,CAIT,Total including LUCF,All GHG,MtCO₂e,9.68,9.69,9.4,8.94,11.0,10.46,9.6,10.09,9.75,10.31,10.2,9.76,9.61,9.63,9.4,9.01,8.58,8.26,8.02,7.61,7.65,7.6,7.44,7.56,7.36
Haiti,CAIT,Total including LUCF,All GHG,MtCO₂e,8.81,8.2,8.03,8.08,8.0,8.09,8.09,8.05,7.68,7.61,7.46,7.18,7.21,6.93,6.63,6.21,6.09,5.95,5.49,5.25,4.49,5.0,5.36,5.01,4.81
Albania,CAIT,Total including LUCF,All GHG,MtCO₂e,8.68,8.2,8.11,8.45,8.1,7.82,7.75,8.17,7.94,9.14,9.37,9.3,8.88,8.24,7.57,7.22,6.05,5.83,6.54,6.84,7.28,6.74,7.01,9.26,11.84
Armenia,CAIT,Total including LUCF,All GHG,MtCO₂e,8.48,8.45,8.45,7.56,7.2,7.37,8.5,7.93,7.14,6.99,6.25,5.88,5.47,5.85,5.72,5.38,5.88,5.93,5.31,6.37,5.76,8.26,14.37,24.7,24.07
Suriname,CAIT,Total including LUCF,All GHG,MtCO₂e,8.04,8.19,8.7,7.04,6.96,8.33,7.4,6.79,7.19,6.96,7.43,8.16,6.19,6.55,6.66,7.52,8.35,7.87,7.73,7.85,7.79,7.79,7.87,7.78,7.44
Rwanda,CAIT,Total including LUCF,All GHG,MtCO₂e,7.59,7.56,7.32,6.84,5.94,5.23,5.24,4.84,4.98,-4.12,-4.31,-4.11,-4.36,-5.0,13.74,13.83,13.76,13.65,13.43,13.36,13.48,13.5,13.48,13.45,13.38
Gambia,CAIT,Total including LUCF,All GHG,MtCO₂e,7.44,7.17,6.96,6.87,6.83,6.54,6.25,6.03,5.92,5.6,5.48,5.17,5.04,4.98,4.9,4.8,4.46,4.31,4.21,4.1,3.95,3.8,3.69,3.58,3.44
Eritrea,CAIT,Total including LUCF,All GHG,MtCO₂e,7.42,7.34,7.28,7.16,6.9,6.88,6.93,7.07,6.94,7.08,7.11,7.12,7.02,7.12,7.88,7.84,7.8,7.92,7.61,7.29,7.14,7.02,7.28,N/A,N/A
Cyprus,CAIT,Total including LUCF,All GHG,MtCO₂e,6.72,6.63,7.64,8.19,8.42,8.7,8.97,8.79,8.42,8.66,8.47,8.57,7.74,7.51,7.66,7.32,7.07,6.56,6.49,6.17,6.28,6.08,5.9,5.54,4.99
Mauritius,CAIT,Total including LUCF,All GHG,MtCO₂e,5.83,5.66,5.55,5.42,5.4,5.12,5.14,5.03,4.89,4.71,4.5,4.47,4.3,4.22,3.9,3.58,3.07,2.8,2.72,2.56,2.51,2.44,2.29,2.2,2.11
Burundi,CAIT,Total including LUCF,All GHG,MtCO₂e,5.56,5.57,5.29,5.04,1.34,1.23,1.51,0.62,0.73,6.85,7.46,7.56,7.55,7.75,10.9,10.71,10.96,10.84,10.7,10.76,10.68,10.74,10.71,10.67,10.59
Lesotho,CAIT,Total including LUCF,All GHG,MtCO₂e,4.17,4.14,4.01,3.92,4.14,4.0,3.9,4.03,3.82,3.96,3.69,3.84,3.62,3.93,3.77,3.83,3.39,3.38,3.39,3.43,3.45,3.43,3.4,3.19,3.12
Liberia,CAIT,Total including LUCF,All GHG,MtCO₂e,3.51,3.5,3.67,3.36,16.91,16.81,16.59,16.6,16.64,16.6,16.43,16.34,16.27,16.27,16.2,16.16,16.13,16.06,16.01,15.98,15.97,15.99,15.99,15.99,16.23
Guinea-Bissau,CAIT,Total including LUCF,All GHG,MtCO₂e,3.5,3.45,3.51,3.34,3.31,3.16,3.11,3.08,3.15,3.64,3.68,3.81,3.72,3.71,3.1,3.38,3.05,2.87,2.84,2.87,2.84,2.82,2.8,2.77,2.76
Montenegro,CAIT,Total including LUCF,All GHG,MtCO₂e,3.43,3.45,3.58,3.72,-13.24,-13.89,-12.74,-13.13,-12.88,2.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barbados,CAIT,Total including LUCF,All GHG,MtCO₂e,3.36,3.55,3.56,3.57,3.6,3.69,3.69,3.42,3.42,3.32,3.27,3.23,3.18,3.18,3.14,3.15,3.07,2.82,2.77,2.73,2.62,2.96,2.8,3.0,2.84
Eswatini,CAIT,Total including LUCF,All GHG,MtCO₂e,3.21,3.15,3.22,2.99,3.03,2.87,3.19,3.17,2.82,2.9,2.89,2.84,2.87,2.89,2.99,3.04,3.08,3.0,2.15,2.22,2.21,1.85,2.15,2.17,2.22
Bahamas,CAIT,Total including LUCF,All GHG,MtCO₂e,3.1,3.61,2.65,2.69,6.86,6.88,6.86,6.91,6.88,1.11,1.16,0.78,0.87,0.86,0.55,0.53,0.54,0.2,0.5,0.51,0.51,0.51,0.6,0.59,0.76
Malta,CAIT,Total including LUCF,All GHG,MtCO₂e,2.97,2.98,3.28,3.12,3.11,2.99,3.09,3.24,3.06,3.16,3.02,3.01,2.7,2.86,2.48,2.75,2.69,2.78,2.62,2.66,2.79,3.08,2.43,2.46,2.55
Iceland,CAIT,Total including LUCF,All GHG,MtCO₂e,2.73,2.68,2.52,2.6,2.78,2.9,2.97,3.15,3.11,3.03,3.06,3.0,3.02,2.96,3.1,2.98,2.99,2.96,3.05,2.73,2.9,2.87,2.89,2.95,3.06
Solomon Islands,CAIT,Total including LUCF,All GHG,MtCO₂e,2.55,2.54,2.53,2.52,2.15,2.14,2.12,2.11,2.09,2.15,2.14,2.13,2.12,2.11,2.1,2.09,2.08,2.07,2.06,2.06,2.05,2.05,2.04,2.04,2.03
Costa Rica,CAIT,Total including LUCF,All GHG,MtCO₂e,2.53,2.46,2.03,1.94,5.23,5.4,5.51,5.42,4.02,3.87,3.22,3.02,2.63,2.82,16.11,16.3,16.52,15.82,15.77,15.94,16.34,15.91,15.87,14.76,14.5
Grenada,CAIT,Total including LUCF,All GHG,MtCO₂e,1.95,2.0,1.96,1.93,1.76,1.74,1.73,1.7,1.69,2.19,2.17,2.17,2.15,2.13,1.76,1.75,1.72,1.7,1.68,1.66,1.64,1.61,1.6,1.58,1.56
Latvia,CAIT,Total including LUCF,All GHG,MtCO₂e,1.84,1.8,1.72,1.88,0.66,-0.45,0.29,0.59,0.18,11.23,11.07,10.96,10.79,10.53,1.38,2.08,3.03,3.38,3.97,3.89,5.7,8.63,11.59,14.85,16.69
Djibouti,CAIT,Total including LUCF,All GHG,MtCO₂e,1.51,1.39,1.3,1.24,1.28,1.22,1.26,1.21,1.16,1.17,1.16,1.17,1.14,1.11,1.08,1.05,1.02,1.02,0.99,0.96,0.92,0.91,0.89,0.89,0.89
Maldives,CAIT,Total including LUCF,All GHG,MtCO₂e,1.43,1.18,1.2,1.07,1.02,0.96,0.92,0.86,0.83,0.67,0.74,0.57,0.66,0.52,0.51,0.48,0.36,0.39,0.34,0.3,0.25,0.25,0.28,0.2,0.22
Saint Lucia,CAIT,Total including LUCF,All GHG,MtCO₂e,1.17,1.17,1.17,1.16,1.34,1.32,1.33,1.31,1.29,1.05,1.03,1.03,0.99,1.04,0.98,0.97,0.95,0.99,1.0,0.97,0.9,0.84,0.81,0.77,0.75
Antigua and Barbuda,CAIT,Total including LUCF,All GHG,MtCO₂e,1.14,1.11,1.08,1.04,1.11,1.08,1.03,0.99,0.93,0.79,0.76,0.72,0.66,0.62,0.58,0.54,0.52,0.49,0.45,0.42,0.4,0.4,0.38,0.38,0.39
Vanuatu,CAIT,Total including LUCF,All GHG,MtCO₂e,0.72,0.66,0.66,0.67,0.63,0.62,0.62,0.62,0.5,0.51,0.5,0.51,0.5,0.5,0.5,0.52,0.52,0.52,0.51,0.49,0.48,0.48,0.45,0.44,0.42
Seychelles,CAIT,Total including LUCF,All GHG,MtCO₂e,0.56,0.47,0.51,0.41,0.51,0.59,0.76,0.71,0.8,0.75,0.8,0.61,0.6,0.7,0.64,0.57,0.5,0.4,0.3,0.26,0.26,0.24,0.23,0.23,0.21
Andorra,CAIT,Total including LUCF,All GHG,MtCO₂e,0.5,0.51,0.52,0.52,0.53,0.0,0.0,0.55,0.55,0.59,0.57,0.55,0.54,0.53,0.54,0.53,0.5,0.48,0.47,0.44,0.42,0.42,0.41,0.41,0.41
Cape Verde,CAIT,Total including LUCF,All GHG,MtCO₂e,0.48,0.49,0.49,0.6,0.72,0.68,0.62,0.64,0.59,0.62,0.5,0.47,0.43,0.39,-0.03,-0.06,-0.09,-0.11,-0.13,-0.12,-0.15,-0.13,-0.14,-0.18,-0.19
Samoa,CAIT,Total including LUCF,All GHG,MtCO₂e,0.47,0.47,0.47,0.49,-0.09,-0.09,-0.1,-0.1,-0.11,0.31,0.3,0.3,0.29,0.31,-1.66,-1.68,-1.69,-1.7,-1.7,-1.71,-1.71,-1.72,-1.72,-1.72,-1.72
Comoros,CAIT,Total including LUCF,All GHG,MtCO₂e,0.46,0.49,0.45,0.43,0.45,0.41,0.39,0.36,0.44,0.42,0.43,0.42,0.4,0.38,0.36,0.36,0.36,0.33,0.33,0.31,0.31,0.31,0.3,0.29,0.29
Palau,CAIT,Total including LUCF,All GHG,MtCO₂e,0.43,0.39,0.35,0.31,0.27,0.26,0.27,0.28,0.28,0.14,0.13,0.13,0.12,0.13,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,N/A,N/A
Saint Kitts and Nevis,CAIT,Total including LUCF,All GHG,MtCO₂e,0.39,0.38,0.37,0.34,0.42,0.42,0.42,0.41,0.39,0.26,0.28,0.26,0.26,0.24,0.23,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.15,0.15
Dominica,CAIT,Total including LUCF,All GHG,MtCO₂e,0.36,0.36,0.36,0.35,0.77,0.76,0.76,0.79,0.74,0.23,0.23,0.23,0.22,0.23,0.17,0.15,0.14,0.15,0.14,0.15,0.14,0.13,0.13,0.13,0.13
Tonga,CAIT,Total including LUCF,All GHG,MtCO₂e,0.33,0.32,0.31,0.29,-0.19,-0.17,-0.21,-0.22,-0.2,0.29,0.28,0.31,0.27,0.25,0.26,0.27,0.24,0.25,0.23,0.25,0.25,0.24,0.22,0.25,0.23
Saint Vincent and the Grenadines,CAIT,Total including LUCF,All GHG,MtCO₂e,0.29,0.29,0.34,0.28,0.47,0.56,0.48,0.48,0.47,0.24,0.24,0.22,0.21,0.21,0.12,0.14,0.13,0.1,0.1,0.1,0.09,0.07,0.05,0.04,0.05
Sao Tome and Principe,CAIT,Total including LUCF,All GHG,MtCO₂e,0.19,0.19,0.19,0.17,0.46,0.45,0.44,0.44,0.44,0.14,0.14,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09
Niue,CAIT,Total including LUCF,All GHG,MtCO₂e,0.15,0.14,0.12,0.11,0.04,0.04,0.04,0.03,0.03,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Micronesia,CAIT,Total including LUCF,All GHG,MtCO₂e,0.15,0.18,0.17,0.15,0.14,0.19,0.15,0.17,0.15,0.15,0.17,0.17,0.17,0.2,0.15,0.14,0.14,0.14,0.13,0.13,0.08,0.08,0.08,N/A,N/A
Marshall Islands,CAIT,Total including LUCF,All GHG,MtCO₂e,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,N/A,N/A
Cook Islands,CAIT,Total including LUCF,All GHG,MtCO₂e,0.11,0.11,0.11,0.11,0.06,0.06,0.06,0.06,0.06,0.1,0.09,0.07,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04
Kiribati,CAIT,Total including LUCF,All GHG,MtCO₂e,0.08,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03
Liechtenstein,CAIT,Total including LUCF,All GHG,MtCO₂e,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nauru,CAIT,Total including LUCF,All GHG,MtCO₂e,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.07,0.08,0.09,0.09,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13
Tuvalu,CAIT,Total including LUCF,All GHG,MtCO₂e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Fiji,CAIT,Total including LUCF,All GHG,MtCO₂e,-0.77,-0.8,-0.9,-0.88,2.87,2.46,2.57,2.81,2.85,0.07,0.34,-0.01,-0.11,0.07,0.18,0.15,0.18,0.22,0.24,0.19,0.12,0.08,0.01,-0.07,0.06
Bhutan,CAIT,Total including LUCF,All GHG,MtCO₂e,-2.26,-2.31,-2.38,-2.49,-1.83,-1.96,-1.94,-1.84,-1.93,-3.38,-3.52,-3.46,-3.43,-3.44,-3.1,-3.04,-3.09,-3.1,-3.19,-3.22,-3.31,-3.34,-3.31,-3.31,-3.36
Chile,CAIT,Total including LUCF,All GHG,MtCO₂e,-7.79,-1.56,-5.17,-7.55,83.48,79.05,82.09,77.85,69.7,68.91,67.7,61.94,60.65,59.52,55.66,59.71,57.6,56.99,50.12,44.01,40.52,36.96,35.63,33.27,34.3
Romania,CAIT,Total including LUCF,All GHG,MtCO₂e,-54.98,-54.13,-43.77,-41.53,111.86,115.36,131.54,132.72,133.98,134.88,135.9,138.78,132.37,134.04,130.77,128.81,144.7,160.29,171.7,169.54,166.64,171.1,183.43,202.79,239.36
Gabon,CAIT,Total including LUCF,All GHG,MtCO₂e,-86.9,-86.64,-86.76,-87.04,6.55,5.97,5.99,5.86,5.8,6.36,6.19,6.08,5.97,6.19,6.31,6.77,7.17,7.35,7.51,7.7,7.52,7.77,7.64,7.35,7.11
